Character,Width,Height,Span
a,2,,
b,2,,
c,2,,
d,2,,
e,2,,
f,2,,
g,2,,
h,2,,
i,1,,
j,1,,
k,2,,
l,1,,
m,3,,
n,2,,
o,2,,
p,2,,
q,2,,
r,1,,
s,2,,
t,1,,
u,2,,
v,2,,
w,3,,
x,2,,
y,2,,
z,2,,
A,3,,
B,3,,
C,3,,
D,3,,
E,3,,
F,3,,
G,3,,
H,3,,
I,1,,
J,2,,
K,3,,
L,3,,
M,3,,
N,3,,
O,3,,
P,3,,
Q,3,,
R,3,,
S,3,,
T,3,,
U,3,,
V,3,,
W,4,,
X,3,,
Y,3,,
Z,2,,
0,2,,
1,2,,
2,2,,
3,2,,
4,2,,
5,2,,
6,2,,
7,2,,
8,2,,
9,2,,
(,2,,
),2,,
[,2,,
],2,,
{,2,,
},2,,
<,3,,
>,3,,
.,1,,
",",1,,
?,3,,
!,1,,
:,1,,
;,1,,
',1,,
"""",1,,
/,2,,
\,2,,
_,2,,
+,2,,
-,2,,
*,1,,
#,2,,
&,2,,
|,1,,
@,3,,
%,3,,
^,1,,
$/rs,2,,
α,2,,
β,2,,
γ,2,,
δ,2,,
ε,2,,
η,2,,
θ,2,,
λ,2,,
μ,2,,
π,2,,
ρ,2,,
Σ,3,,
σ,3,,
Φ,2,,
ω,3,,
Ω,3,,
ψ,3,,
